,potential,finishing,short_passing,volleys,dribbling,long_passing,ball_control,reactions,shot_power,long_shots,interceptions,positioning,vision,standing_tackle,sliding_tackle,overall_rating
24393,68.0,63.0,65.0,48.0,70.0,58.0,67.0,54.0,66.0,63.0,36.0,64.0,66.0,29.0,30.0,68.0
24394,73.0,44.0,66.0,27.0,54.0,63.0,63.0,65.0,59.0,47.0,53.0,61.0,67.0,46.0,35.0,62.0
24395,80.0,40.0,70.0,57.0,70.0,63.0,70.0,72.0,69.0,58.0,72.0,62.0,44.0,76.0,79.0,73.0
24396,83.0,46.0,65.0,68.0,50.0,62.0,62.0,71.0,52.0,59.0,72.0,71.0,75.0,78.0,79.0,75.0
24397,79.0,75.0,76.0,68.0,72.0,65.0,77.0,76.0,85.0,77.0,64.0,72.0,74.0,66.0,62.0,74.0
24398,80.0,75.0,61.0,54.0,72.0,44.0,73.0,73.0,70.0,58.0,25.0,75.0,32.0,39.0,33.0,73.0
24399,64.0,28.0,34.0,31.0,32.0,30.0,45.0,50.0,45.0,34.0,52.0,26.0,30.0,63.0,64.0,53.0
24400,71.0,67.0,71.0,44.0,64.0,66.0,67.0,54.0,76.0,68.0,64.0,58.0,61.0,55.0,55.0,65.0
24401,74.0,60.0,72.0,64.0,74.0,69.0,77.0,62.0,74.0,61.0,44.0,64.0,64.0,32.0,30.0,70.0
24402,85.0,60.0,77.0,54.0,75.0,71.0,77.0,70.0,65.0,58.0,62.0,64.0,70.0,63.0,56.0,71.0
24403,63.0,17.0,42.0,17.0,46.0,31.0,54.0,56.0,30.0,12.0,54.0,15.0,33.0,61.0,54.0,58.0
24404,86.0,73.0,82.0,72.0,79.0,76.0,83.0,80.0,76.0,73.0,82.0,84.0,80.0,79.0,74.0,79.0
24405,77.0,65.0,49.0,51.0,64.0,38.0,55.0,58.0,62.0,58.0,12.0,51.0,52.0,20.0,20.0,59.0
24406,73.0,59.0,70.0,63.0,64.0,68.0,68.0,65.0,73.0,70.0,67.0,67.0,69.0,62.0,61.0,67.0
24407,66.0,32.0,49.0,25.0,39.0,42.0,45.0,61.0,65.0,47.0,66.0,25.0,26.0,67.0,62.0,65.0
24408,72.0,55.0,74.0,58.0,72.0,68.0,71.0,73.0,67.0,61.0,38.0,61.0,73.0,32.0,37.0,70.0
24409,68.0,41.0,61.0,39.0,54.0,57.0,54.0,50.0,52.0,36.0,30.0,39.0,60.0,46.0,47.0,53.0
24410,72.0,66.0,73.0,62.0,70.0,62.0,73.0,71.0,68.0,64.0,50.0,68.0,72.0,42.0,40.0,70.0
24411,64.0,39.0,59.0,46.0,58.0,58.0,59.0,61.0,64.0,55.0,45.0,49.0,52.0,53.0,52.0,60.0
24412,70.0,68.0,58.0,47.0,63.0,50.0,67.0,54.0,63.0,50.0,23.0,71.0,42.0,27.0,29.0,64.0
24413,77.0,74.0,79.0,64.0,80.0,57.0,83.0,68.0,68.0,74.0,70.0,79.0,81.0,39.0,41.0,76.0
24414,83.0,53.0,69.0,55.0,74.0,69.0,73.0,62.0,70.0,60.0,70.0,71.0,61.0,70.0,72.0,73.0
24415,67.0,55.0,58.0,41.0,65.0,55.0,66.0,46.0,67.0,37.0,25.0,62.0,61.0,24.0,29.0,62.0
24416,83.0,44.0,69.0,63.0,62.0,67.0,64.0,68.0,69.0,51.0,75.0,71.0,66.0,75.0,74.0,70.0
24417,73.0,25.0,23.0,25.0,25.0,24.0,25.0,69.0,34.0,25.0,25.0,25.0,25.0,25.0,25.0,68.0
24418,77.0,58.0,72.0,57.0,66.0,71.0,70.0,71.0,64.0,70.0,76.0,72.0,70.0,69.0,66.0,71.0
24419,82.0,64.0,81.0,73.0,81.0,73.0,85.0,78.0,72.0,75.0,50.0,70.0,84.0,34.0,29.0,79.0
24420,67.0,54.0,69.0,47.0,59.0,62.0,65.0,65.0,49.0,53.0,62.0,62.0,60.0,64.0,64.0,67.0
24421,80.0,66.0,80.0,66.0,73.0,83.0,76.0,76.0,77.0,75.0,76.0,73.0,82.0,71.0,71.0,77.0
24422,73.0,31.0,66.0,40.0,58.0,69.0,63.0,66.0,72.0,70.0,65.0,51.0,56.0,65.0,64.0,67.0
24423,75.0,67.0,76.0,79.0,73.0,74.0,78.0,76.0,78.0,71.0,67.0,74.0,58.0,77.0,77.0,75.0
24424,71.0,30.0,55.0,27.0,40.0,61.0,54.0,66.0,37.0,36.0,71.0,34.0,45.0,75.0,70.0,71.0
24425,69.0,49.0,59.0,42.0,47.0,56.0,61.0,59.0,67.0,40.0,68.0,48.0,27.0,60.0,53.0,62.0
24426,71.0,13.0,22.0,14.0,13.0,21.0,21.0,72.0,23.0,12.0,20.0,18.0,10.0,11.0,11.0,70.0
24427,77.0,31.0,78.0,48.0,77.0,73.0,76.0,75.0,78.0,61.0,79.0,65.0,70.0,81.0,66.0,76.0
24428,72.0,46.0,61.0,43.0,63.0,58.0,66.0,57.0,57.0,49.0,47.0,55.0,50.0,60.0,61.0,58.0
24429,64.0,36.0,59.0,26.0,56.0,49.0,54.0,60.0,54.0,52.0,55.0,55.0,64.0,57.0,38.0,57.0
24430,69.0,65.0,49.0,46.0,58.0,34.0,59.0,57.0,63.0,55.0,12.0,62.0,48.0,19.0,14.0,61.0
24431,71.0,25.0,62.0,42.0,30.0,60.0,62.0,68.0,57.0,24.0,69.0,40.0,40.0,73.0,70.0,67.0
24432,79.0,75.0,81.0,79.0,70.0,74.0,76.0,82.0,77.0,71.0,30.0,86.0,87.0,39.0,37.0,75.0
24433,66.0,30.0,64.0,44.0,57.0,55.0,59.0,64.0,55.0,36.0,59.0,45.0,45.0,61.0,65.0,64.0
24434,66.0,64.0,60.0,66.0,62.0,46.0,67.0,67.0,70.0,67.0,31.0,64.0,58.0,22.0,21.0,66.0
24435,76.0,70.0,77.0,64.0,74.0,81.0,81.0,77.0,79.0,78.0,68.0,70.0,77.0,72.0,62.0,76.0
24436,71.0,36.0,54.0,55.0,57.0,44.0,55.0,51.0,42.0,36.0,45.0,46.0,60.0,24.0,68.0,56.0
24437,63.0,62.0,70.0,62.0,64.0,63.0,69.0,59.0,75.0,68.0,57.0,61.0,64.0,62.0,57.0,63.0
24438,76.0,66.0,64.0,57.0,74.0,48.0,66.0,54.0,67.0,53.0,20.0,65.0,65.0,22.0,19.0,64.0
24439,75.0,26.0,45.0,31.0,30.0,34.0,37.0,50.0,43.0,21.0,61.0,32.0,39.0,73.0,63.0,62.0
24440,77.0,61.0,61.0,51.0,63.0,51.0,65.0,50.0,49.0,46.0,25.0,60.0,53.0,25.0,25.0,58.0
24441,65.0,49.0,63.0,38.0,56.0,59.0,64.0,60.0,64.0,60.0,57.0,38.0,47.0,67.0,67.0,65.0
24442,75.0,71.0,62.0,63.0,68.0,44.0,69.0,70.0,73.0,64.0,27.0,71.0,57.0,21.0,21.0,70.0
