,potential,finishing,short_passing,volleys,dribbling,long_passing,ball_control,reactions,shot_power,long_shots,interceptions,positioning,vision,standing_tackle,sliding_tackle,overall_rating
0,75.0,61.0,75.0,54.0,66.0,66.0,72.0,72.0,69.0,56.0,73.0,63.0,69.0,74.0,67.0,73.0
1,75.0,51.0,66.0,38.0,72.0,68.0,70.0,59.0,49.0,60.0,27.0,61.0,64.0,24.0,14.0,64.0
2,74.0,45.0,65.0,38.0,60.0,64.0,66.0,72.0,60.0,36.0,75.0,33.0,50.0,76.0,75.0,74.0
3,83.0,85.0,70.0,83.0,78.0,58.0,83.0,80.0,88.0,78.0,32.0,82.0,64.0,34.0,22.0,83.0
4,67.0,39.0,64.0,38.0,62.0,59.0,58.0,59.0,58.0,38.0,69.0,44.0,48.0,66.0,60.0,62.0
5,70.0,72.0,62.0,65.0,71.0,52.0,72.0,64.0,66.0,64.0,48.0,71.0,67.0,24.0,22.0,70.0
6,66.0,34.0,56.0,35.0,35.0,46.0,47.0,62.0,41.0,33.0,65.0,21.0,45.0,65.0,59.0,64.0
7,67.0,63.0,54.0,60.0,70.0,45.0,55.0,72.0,61.0,52.0,27.0,47.0,55.0,15.0,19.0,62.0
8,67.0,42.0,54.0,39.0,37.0,55.0,56.0,66.0,65.0,56.0,69.0,43.0,44.0,64.0,63.0,65.0
9,80.0,67.0,74.0,68.0,76.0,73.0,83.0,69.0,83.0,80.0,38.0,69.0,76.0,37.0,28.0,75.0
10,74.0,69.0,58.0,61.0,66.0,46.0,68.0,63.0,73.0,63.0,43.0,68.0,46.0,25.0,25.0,68.0
11,75.0,63.0,68.0,65.0,74.0,65.0,72.0,57.0,66.0,62.0,21.0,63.0,64.0,26.0,28.0,69.0
12,69.0,48.0,60.0,33.0,65.0,58.0,65.0,64.0,62.0,55.0,66.0,55.0,52.0,65.0,61.0,65.0
13,72.0,53.0,67.0,63.0,56.0,56.0,66.0,63.0,68.0,62.0,61.0,49.0,57.0,66.0,64.0,63.0
14,79.0,81.0,67.0,75.0,53.0,45.0,68.0,77.0,80.0,67.0,38.0,82.0,47.0,35.0,23.0,75.0
15,74.0,50.0,62.0,53.0,44.0,66.0,56.0,76.0,73.0,66.0,78.0,55.0,38.0,78.0,74.0,74.0
16,77.0,42.0,70.0,41.0,65.0,73.0,69.0,76.0,65.0,58.0,75.0,56.0,64.0,75.0,79.0,72.0
17,72.0,54.0,60.0,63.0,61.0,55.0,61.0,59.0,55.0,54.0,64.0,67.0,71.0,42.0,49.0,62.0
18,79.0,56.0,63.0,36.0,56.0,56.0,58.0,61.0,65.0,57.0,62.0,42.0,52.0,60.0,62.0,58.0
19,64.0,50.0,57.0,58.0,65.0,45.0,59.0,64.0,52.0,54.0,30.0,55.0,52.0,58.0,50.0,61.0
20,74.0,12.0,55.0,28.0,43.0,53.0,53.0,56.0,55.0,31.0,62.0,34.0,41.0,64.0,63.0,61.0
21,79.0,69.0,75.0,70.0,83.0,70.0,79.0,75.0,73.0,71.0,45.0,73.0,71.0,46.0,47.0,76.0
22,75.0,23.0,65.0,26.0,33.0,59.0,62.0,71.0,43.0,29.0,80.0,23.0,51.0,76.0,76.0,75.0
23,71.0,48.0,68.0,53.0,69.0,70.0,74.0,69.0,59.0,56.0,71.0,58.0,58.0,68.0,70.0,71.0
24,76.0,58.0,76.0,33.0,67.0,74.0,74.0,75.0,68.0,70.0,74.0,40.0,75.0,76.0,74.0,76.0
25,67.0,42.0,65.0,42.0,66.0,54.0,65.0,58.0,60.0,47.0,43.0,58.0,53.0,55.0,43.0,61.0
26,70.0,11.0,21.0,5.0,12.0,22.0,21.0,59.0,19.0,8.0,22.0,15.0,22.0,4.0,6.0,53.0
27,86.0,68.0,73.0,64.0,84.0,61.0,82.0,81.0,65.0,59.0,28.0,73.0,74.0,31.0,25.0,74.0
28,72.0,45.0,66.0,51.0,60.0,64.0,68.0,73.0,75.0,65.0,74.0,45.0,45.0,74.0,72.0,72.0
29,67.0,14.0,28.0,14.0,13.0,38.0,18.0,64.0,41.0,13.0,20.0,10.0,22.0,13.0,11.0,67.0
30,70.0,62.0,67.0,64.0,66.0,65.0,69.0,62.0,72.0,69.0,45.0,64.0,65.0,35.0,37.0,65.0
31,75.0,76.0,65.0,74.0,75.0,49.0,73.0,75.0,74.0,69.0,60.0,68.0,76.0,22.0,21.0,74.0
32,72.0,47.0,61.0,48.0,40.0,54.0,58.0,67.0,59.0,33.0,70.0,77.0,63.0,68.0,65.0,70.0
33,57.0,25.0,16.0,13.0,23.0,17.0,23.0,52.0,24.0,16.0,14.0,10.0,40.0,14.0,12.0,57.0
34,78.0,25.0,24.0,25.0,25.0,26.0,25.0,75.0,54.0,25.0,20.0,25.0,25.0,25.0,25.0,78.0
35,71.0,69.0,60.0,58.0,63.0,61.0,65.0,69.0,67.0,62.0,69.0,71.0,72.0,14.0,48.0,67.0
36,72.0,12.0,19.0,12.0,18.0,24.0,22.0,77.0,24.0,14.0,16.0,13.0,36.0,15.0,15.0,72.0
37,77.0,40.0,76.0,65.0,76.0,75.0,76.0,77.0,74.0,66.0,75.0,69.0,73.0,80.0,79.0,77.0
38,76.0,76.0,78.0,71.0,75.0,70.0,79.0,77.0,78.0,72.0,33.0,81.0,76.0,42.0,18.0,76.0
39,70.0,33.0,62.0,48.0,59.0,70.0,58.0,65.0,68.0,58.0,71.0,49.0,59.0,74.0,69.0,70.0
40,66.0,50.0,59.0,48.0,50.0,62.0,54.0,55.0,68.0,64.0,32.0,60.0,58.0,35.0,46.0,55.0
41,69.0,23.0,23.0,22.0,23.0,61.0,23.0,59.0,23.0,23.0,56.0,50.0,54.0,21.0,37.0,66.0
42,87.0,70.0,74.0,74.0,87.0,71.0,85.0,77.0,77.0,80.0,66.0,67.0,76.0,30.0,44.0,84.0
43,69.0,64.0,61.0,66.0,64.0,54.0,62.0,66.0,72.0,70.0,33.0,67.0,60.0,33.0,34.0,66.0
44,87.0,85.0,80.0,86.0,83.0,51.0,85.0,81.0,84.0,80.0,35.0,83.0,79.0,18.0,29.0,84.0
45,78.0,62.0,77.0,66.0,70.0,76.0,72.0,72.0,67.0,70.0,62.0,68.0,83.0,47.0,48.0,71.0
46,75.0,62.0,74.0,53.0,75.0,65.0,73.0,75.0,85.0,76.0,73.0,68.0,63.0,74.0,76.0,75.0
47,75.0,44.0,66.0,29.0,37.0,62.0,66.0,69.0,58.0,39.0,74.0,21.0,58.0,77.0,78.0,75.0
48,77.0,70.0,84.0,65.0,67.0,78.0,74.0,68.0,83.0,72.0,67.0,71.0,74.0,75.0,76.0,75.0
49,70.0,67.0,54.0,35.0,74.0,52.0,70.0,52.0,72.0,45.0,43.0,84.0,60.0,38.0,30.0,69.0
50,74.0,67.0,65.0,65.0,67.0,61.0,68.0,67.0,77.0,73.0,70.0,67.0,64.0,22.0,52.0,70.0
51,73.0,66.0,74.0,74.0,74.0,64.0,76.0,72.0,72.0,68.0,68.0,70.0,72.0,73.0,73.0,73.0
52,73.0,10.0,14.0,8.0,9.0,19.0,18.0,57.0,13.0,13.0,20.0,15.0,12.0,9.0,12.0,68.0
53,69.0,11.0,35.0,12.0,11.0,24.0,28.0,68.0,41.0,11.0,19.0,12.0,33.0,23.0,21.0,67.0
54,75.0,14.0,62.0,30.0,52.0,51.0,61.0,61.0,47.0,21.0,63.0,39.0,31.0,60.0,66.0,60.0
55,67.0,29.0,69.0,58.0,60.0,67.0,63.0,71.0,60.0,39.0,71.0,31.0,56.0,73.0,73.0,67.0
56,72.0,58.0,61.0,56.0,69.0,50.0,64.0,55.0,71.0,59.0,18.0,59.0,56.0,23.0,27.0,62.0
57,86.0,55.0,76.0,59.0,74.0,80.0,83.0,79.0,71.0,72.0,82.0,68.0,77.0,82.0,82.0,81.0
58,78.0,57.0,64.0,47.0,84.0,61.0,81.0,51.0,58.0,68.0,38.0,55.0,51.0,25.0,24.0,70.0
59,76.0,22.0,40.0,35.0,60.0,32.0,63.0,46.0,47.0,21.0,63.0,26.0,32.0,65.0,63.0,61.0
60,75.0,68.0,71.0,53.0,71.0,67.0,72.0,64.0,75.0,77.0,60.0,66.0,75.0,56.0,56.0,71.0
61,76.0,66.0,60.0,68.0,63.0,45.0,65.0,68.0,71.0,66.0,30.0,69.0,64.0,43.0,35.0,67.0
62,70.0,18.0,74.0,17.0,61.0,79.0,67.0,69.0,67.0,22.0,66.0,65.0,49.0,71.0,68.0,70.0
63,74.0,16.0,30.0,11.0,13.0,38.0,24.0,69.0,35.0,10.0,22.0,13.0,10.0,10.0,12.0,71.0
64,87.0,75.0,79.0,75.0,89.0,75.0,85.0,75.0,83.0,80.0,55.0,78.0,68.0,59.0,64.0,83.0
65,73.0,56.0,49.0,30.0,59.0,42.0,57.0,34.0,45.0,27.0,39.0,49.0,46.0,34.0,24.0,55.0
66,50.0,22.0,54.0,30.0,22.0,46.0,43.0,50.0,22.0,22.0,33.0,35.0,52.0,49.0,59.0,46.0
67,76.0,66.0,69.0,63.0,71.0,53.0,72.0,65.0,68.0,57.0,42.0,76.0,64.0,38.0,23.0,68.0
68,76.0,64.0,77.0,46.0,66.0,75.0,75.0,76.0,74.0,70.0,80.0,69.0,71.0,79.0,73.0,76.0
69,75.0,43.0,64.0,48.0,61.0,67.0,73.0,73.0,60.0,54.0,72.0,57.0,54.0,68.0,77.0,72.0
70,67.0,64.0,62.0,63.0,71.0,52.0,70.0,70.0,67.0,52.0,44.0,64.0,63.0,26.0,25.0,67.0
71,67.0,62.0,71.0,34.0,67.0,64.0,68.0,62.0,63.0,61.0,69.0,69.0,66.0,59.0,54.0,66.0
72,74.0,11.0,13.0,11.0,14.0,12.0,26.0,52.0,12.0,12.0,24.0,12.0,34.0,11.0,16.0,72.0
73,82.0,76.0,77.0,77.0,84.0,61.0,81.0,79.0,74.0,68.0,76.0,85.0,75.0,59.0,51.0,80.0
74,81.0,46.0,73.0,37.0,69.0,70.0,70.0,72.0,60.0,61.0,73.0,67.0,67.0,71.0,68.0,71.0
75,68.0,54.0,58.0,56.0,61.0,52.0,60.0,54.0,41.0,41.0,47.0,55.0,76.0,37.0,35.0,59.0
76,81.0,72.0,79.0,75.0,66.0,74.0,70.0,70.0,83.0,78.0,67.0,77.0,78.0,69.0,68.0,74.0
77,75.0,64.0,73.0,62.0,80.0,67.0,78.0,71.0,75.0,72.0,39.0,70.0,74.0,30.0,25.0,75.0
78,69.0,15.0,55.0,18.0,39.0,50.0,55.0,55.0,29.0,13.0,74.0,21.0,20.0,77.0,75.0,66.0
79,74.0,51.0,79.0,57.0,69.0,71.0,79.0,74.0,69.0,65.0,61.0,64.0,77.0,72.0,69.0,73.0
80,69.0,66.0,80.0,61.0,74.0,78.0,74.0,72.0,64.0,68.0,69.0,67.0,68.0,61.0,59.0,69.0
81,74.0,15.0,28.0,19.0,10.0,25.0,25.0,67.0,18.0,11.0,14.0,10.0,13.0,13.0,12.0,71.0
82,86.0,11.0,29.0,13.0,12.0,26.0,16.0,79.0,22.0,12.0,19.0,11.0,55.0,12.0,18.0,82.0
83,83.0,23.0,60.0,42.0,30.0,59.0,62.0,71.0,57.0,24.0,68.0,69.0,41.0,77.0,71.0,72.0
84,72.0,62.0,66.0,43.0,68.0,56.0,58.0,52.0,55.0,55.0,27.0,57.0,49.0,32.0,31.0,62.0
85,63.0,61.0,52.0,53.0,67.0,48.0,65.0,69.0,64.0,56.0,25.0,58.0,54.0,25.0,35.0,61.0
86,80.0,63.0,58.0,56.0,62.0,42.0,60.0,61.0,56.0,54.0,16.0,60.0,46.0,19.0,14.0,62.0
87,79.0,25.0,32.0,25.0,25.0,37.0,20.0,73.0,20.0,25.0,25.0,25.0,25.0,25.0,25.0,76.0
88,69.0,66.0,69.0,71.0,65.0,60.0,72.0,70.0,64.0,60.0,40.0,75.0,70.0,39.0,36.0,69.0
89,71.0,32.0,64.0,44.0,56.0,57.0,58.0,64.0,71.0,54.0,64.0,41.0,43.0,71.0,72.0,69.0
90,77.0,62.0,74.0,53.0,81.0,65.0,79.0,79.0,85.0,76.0,78.0,72.0,64.0,76.0,78.0,77.0
91,72.0,51.0,65.0,64.0,71.0,63.0,70.0,62.0,50.0,56.0,40.0,61.0,64.0,52.0,38.0,66.0
92,68.0,61.0,64.0,45.0,66.0,62.0,68.0,60.0,50.0,60.0,27.0,67.0,58.0,35.0,33.0,64.0
93,61.0,62.0,52.0,50.0,48.0,50.0,61.0,64.0,55.0,64.0,51.0,53.0,67.0,53.0,44.0,55.0
94,71.0,55.0,73.0,63.0,66.0,66.0,68.0,64.0,68.0,64.0,68.0,63.0,76.0,61.0,55.0,68.0
95,64.0,42.0,65.0,53.0,56.0,58.0,57.0,61.0,57.0,49.0,59.0,57.0,62.0,58.0,52.0,60.0
96,79.0,34.0,71.0,33.0,60.0,62.0,62.0,74.0,50.0,22.0,74.0,55.0,57.0,75.0,74.0,74.0
97,74.0,35.0,53.0,32.0,31.0,48.0,52.0,65.0,44.0,33.0,70.0,30.0,38.0,71.0,64.0,69.0
98,69.0,58.0,64.0,48.0,66.0,55.0,67.0,66.0,70.0,58.0,63.0,61.0,52.0,21.0,10.0,67.0
99,70.0,32.0,67.0,13.0,18.0,64.0,60.0,63.0,34.0,21.0,64.0,32.0,53.0,66.0,63.0,64.0
100,84.0,67.0,78.0,63.0,78.0,76.0,79.0,79.0,85.0,82.0,79.0,78.0,72.0,77.0,78.0,77.0
101,75.0,39.0,55.0,23.0,45.0,65.0,55.0,72.0,55.0,26.0,80.0,30.0,50.0,80.0,74.0,75.0
102,65.0,39.0,65.0,56.0,64.0,64.0,61.0,52.0,69.0,63.0,65.0,54.0,50.0,68.0,65.0,65.0
103,71.0,60.0,64.0,60.0,66.0,55.0,63.0,63.0,61.0,54.0,31.0,79.0,56.0,35.0,32.0,65.0
104,65.0,61.0,66.0,51.0,62.0,62.0,63.0,61.0,65.0,57.0,41.0,57.0,65.0,60.0,54.0,62.0
105,73.0,27.0,57.0,29.0,42.0,52.0,53.0,56.0,47.0,28.0,63.0,24.0,33.0,64.0,59.0,62.0
106,66.0,44.0,62.0,25.0,65.0,55.0,59.0,62.0,68.0,53.0,64.0,33.0,31.0,60.0,64.0,64.0
107,75.0,10.0,20.0,10.0,10.0,13.0,23.0,61.0,21.0,10.0,16.0,12.0,23.0,10.0,10.0,72.0
108,72.0,45.0,65.0,45.0,59.0,59.0,61.0,67.0,71.0,56.0,71.0,55.0,45.0,74.0,77.0,72.0
109,77.0,56.0,69.0,57.0,75.0,66.0,69.0,70.0,72.0,65.0,45.0,66.0,66.0,42.0,41.0,69.0
110,65.0,37.0,38.0,27.0,34.0,34.0,61.0,66.0,28.0,31.0,64.0,43.0,51.0,65.0,62.0,65.0
111,67.0,66.0,63.0,65.0,64.0,44.0,65.0,57.0,72.0,59.0,29.0,67.0,48.0,25.0,19.0,67.0
112,75.0,46.0,59.0,27.0,56.0,60.0,59.0,67.0,61.0,43.0,61.0,60.0,73.0,57.0,56.0,63.0
113,85.0,75.0,77.0,70.0,73.0,60.0,75.0,77.0,79.0,74.0,48.0,78.0,75.0,24.0,21.0,78.0
114,72.0,11.0,35.0,13.0,19.0,35.0,22.0,63.0,11.0,18.0,21.0,12.0,26.0,12.0,13.0,65.0
115,74.0,60.0,76.0,64.0,71.0,73.0,73.0,73.0,85.0,75.0,76.0,65.0,71.0,76.0,68.0,74.0
116,69.0,25.0,25.0,25.0,25.0,29.0,25.0,57.0,35.0,25.0,25.0,25.0,25.0,25.0,25.0,69.0
117,77.0,33.0,66.0,17.0,58.0,52.0,60.0,80.0,59.0,29.0,75.0,66.0,67.0,81.0,83.0,76.0
118,78.0,64.0,65.0,69.0,66.0,53.0,75.0,69.0,63.0,70.0,43.0,70.0,52.0,31.0,30.0,70.0
119,76.0,66.0,73.0,61.0,80.0,68.0,74.0,72.0,71.0,67.0,55.0,68.0,71.0,36.0,34.0,76.0
120,69.0,65.0,49.0,46.0,58.0,34.0,59.0,57.0,63.0,55.0,11.0,62.0,48.0,18.0,13.0,61.0
121,68.0,40.0,55.0,28.0,44.0,60.0,56.0,62.0,71.0,45.0,72.0,30.0,48.0,68.0,63.0,67.0
122,79.0,63.0,79.0,79.0,78.0,76.0,79.0,80.0,81.0,77.0,77.0,79.0,74.0,81.0,79.0,79.0
123,65.0,45.0,48.0,50.0,47.0,45.0,38.0,48.0,53.0,55.0,51.0,52.0,50.0,35.0,40.0,47.0
124,77.0,85.0,62.0,74.0,64.0,30.0,67.0,76.0,80.0,70.0,22.0,83.0,49.0,25.0,25.0,77.0
125,87.0,41.0,77.0,46.0,66.0,73.0,69.0,86.0,79.0,58.0,59.0,67.0,64.0,79.0,57.0,74.0
126,84.0,70.0,79.0,63.0,79.0,73.0,79.0,79.0,83.0,75.0,80.0,73.0,73.0,84.0,81.0,82.0
127,73.0,69.0,57.0,63.0,63.0,33.0,61.0,60.0,65.0,62.0,24.0,64.0,52.0,22.0,21.0,65.0
128,66.0,58.0,54.0,56.0,55.0,35.0,58.0,54.0,52.0,46.0,25.0,58.0,45.0,25.0,25.0,58.0
129,75.0,44.0,45.0,44.0,72.0,39.0,69.0,66.0,48.0,46.0,25.0,58.0,50.0,34.0,29.0,63.0
130,78.0,78.0,70.0,68.0,71.0,59.0,74.0,74.0,76.0,66.0,74.0,76.0,69.0,43.0,25.0,74.0
131,73.0,71.0,76.0,67.0,72.0,73.0,74.0,72.0,78.0,76.0,46.0,71.0,73.0,53.0,51.0,73.0
132,70.0,48.0,41.0,40.0,45.0,51.0,51.0,50.0,45.0,53.0,44.0,59.0,66.0,49.0,28.0,51.0
133,81.0,42.0,74.0,32.0,63.0,56.0,73.0,70.0,46.0,37.0,79.0,61.0,61.0,78.0,77.0,75.0
134,77.0,27.0,70.0,17.0,62.0,69.0,71.0,61.0,74.0,63.0,66.0,72.0,73.0,74.0,65.0,71.0
135,89.0,77.0,28.0,69.0,63.0,28.0,69.0,69.0,64.0,60.0,31.0,32.0,39.0,32.0,27.0,66.0
136,78.0,59.0,75.0,49.0,69.0,71.0,73.0,64.0,74.0,74.0,54.0,66.0,69.0,51.0,49.0,68.0
137,68.0,11.0,54.0,29.0,28.0,47.0,51.0,46.0,41.0,12.0,57.0,19.0,38.0,62.0,61.0,63.0
138,63.0,22.0,38.0,31.0,25.0,34.0,36.0,53.0,39.0,26.0,58.0,21.0,36.0,68.0,62.0,63.0
139,72.0,48.0,45.0,22.0,54.0,37.0,60.0,62.0,58.0,53.0,72.0,22.0,19.0,76.0,71.0,72.0
140,71.0,58.0,49.0,47.0,52.0,35.0,58.0,57.0,60.0,61.0,25.0,59.0,34.0,25.0,25.0,58.0
141,81.0,85.0,74.0,86.0,80.0,50.0,84.0,76.0,78.0,60.0,29.0,81.0,66.0,24.0,25.0,80.0
142,77.0,23.0,71.0,45.0,72.0,62.0,73.0,77.0,42.0,29.0,60.0,61.0,67.0,75.0,77.0,73.0
143,81.0,78.0,74.0,72.0,80.0,55.0,76.0,77.0,80.0,86.0,28.0,79.0,59.0,25.0,22.0,77.0
144,88.0,85.0,86.0,86.0,88.0,80.0,85.0,87.0,85.0,89.0,37.0,87.0,85.0,33.0,38.0,86.0
145,71.0,47.0,70.0,53.0,63.0,73.0,60.0,53.0,60.0,46.0,32.0,46.0,54.0,47.0,56.0,57.0
146,71.0,36.0,64.0,36.0,43.0,58.0,61.0,68.0,68.0,46.0,76.0,46.0,56.0,74.0,72.0,71.0
147,73.0,48.0,83.0,52.0,61.0,81.0,73.0,70.0,81.0,68.0,77.0,66.0,79.0,70.0,58.0,73.0
148,77.0,56.0,63.0,53.0,73.0,62.0,70.0,74.0,79.0,55.0,62.0,68.0,58.0,63.0,71.0,72.0
149,74.0,31.0,55.0,31.0,50.0,50.0,51.0,68.0,59.0,42.0,72.0,24.0,58.0,79.0,81.0,74.0
150,72.0,53.0,48.0,56.0,63.0,43.0,58.0,61.0,60.0,58.0,17.0,53.0,37.0,16.0,25.0,59.0
151,72.0,12.0,34.0,19.0,14.0,41.0,22.0,64.0,28.0,14.0,22.0,14.0,67.0,9.0,8.0,69.0
152,69.0,58.0,67.0,56.0,69.0,66.0,68.0,71.0,60.0,48.0,59.0,68.0,69.0,58.0,57.0,66.0
153,68.0,16.0,47.0,31.0,21.0,44.0,49.0,63.0,40.0,45.0,70.0,20.0,62.0,71.0,69.0,68.0
154,81.0,74.0,74.0,65.0,80.0,72.0,76.0,76.0,69.0,72.0,38.0,70.0,72.0,46.0,40.0,77.0
155,76.0,48.0,66.0,60.0,67.0,63.0,70.0,61.0,45.0,41.0,68.0,65.0,45.0,68.0,66.0,68.0
156,78.0,56.0,63.0,57.0,75.0,52.0,72.0,66.0,72.0,67.0,15.0,63.0,56.0,12.0,12.0,69.0
157,81.0,55.0,79.0,60.0,67.0,78.0,75.0,77.0,80.0,59.0,84.0,60.0,65.0,83.0,77.0,80.0
158,81.0,80.0,77.0,80.0,82.0,55.0,84.0,80.0,81.0,81.0,29.0,86.0,77.0,13.0,17.0,81.0
159,73.0,22.0,47.0,41.0,28.0,35.0,48.0,56.0,61.0,38.0,63.0,70.0,64.0,73.0,70.0,70.0
160,76.0,63.0,74.0,60.0,73.0,77.0,74.0,58.0,61.0,69.0,71.0,76.0,65.0,64.0,67.0,73.0
161,68.0,71.0,59.0,56.0,63.0,46.0,64.0,55.0,75.0,68.0,17.0,64.0,53.0,11.0,14.0,65.0
162,73.0,42.0,53.0,49.0,53.0,50.0,53.0,62.0,65.0,45.0,69.0,76.0,33.0,76.0,66.0,73.0
163,70.0,9.0,21.0,11.0,15.0,20.0,20.0,60.0,41.0,10.0,20.0,13.0,16.0,8.0,9.0,65.0
164,67.0,69.0,71.0,48.0,56.0,71.0,58.0,58.0,62.0,56.0,56.0,46.0,56.0,71.0,56.0,66.0
165,78.0,24.0,62.0,41.0,42.0,58.0,55.0,72.0,67.0,48.0,80.0,42.0,42.0,80.0,76.0,75.0
166,83.0,13.0,31.0,12.0,14.0,33.0,27.0,74.0,21.0,12.0,12.0,12.0,31.0,18.0,13.0,75.0
167,74.0,29.0,65.0,25.0,46.0,54.0,57.0,67.0,35.0,30.0,68.0,26.0,48.0,71.0,67.0,68.0
168,67.0,60.0,67.0,56.0,68.0,64.0,68.0,67.0,67.0,59.0,53.0,66.0,70.0,56.0,52.0,67.0
169,73.0,44.0,63.0,43.0,65.0,55.0,66.0,70.0,60.0,63.0,72.0,52.0,58.0,74.0,70.0,70.0
170,66.0,10.0,61.0,33.0,52.0,47.0,55.0,58.0,16.0,16.0,54.0,46.0,51.0,62.0,55.0,61.0
171,64.0,25.0,27.0,25.0,25.0,21.0,32.0,61.0,33.0,25.0,25.0,25.0,25.0,25.0,25.0,63.0
172,83.0,64.0,82.0,72.0,72.0,80.0,78.0,75.0,75.0,68.0,74.0,71.0,75.0,71.0,64.0,77.0
173,66.0,58.0,69.0,58.0,64.0,66.0,67.0,70.0,79.0,59.0,63.0,65.0,61.0,65.0,66.0,66.0
174,77.0,68.0,68.0,60.0,76.0,64.0,72.0,67.0,75.0,68.0,61.0,66.0,60.0,71.0,64.0,68.0
175,74.0,51.0,59.0,53.0,67.0,54.0,63.0,52.0,47.0,48.0,23.0,62.0,63.0,32.0,21.0,60.0
176,64.0,29.0,63.0,19.0,59.0,62.0,64.0,66.0,59.0,56.0,63.0,33.0,50.0,62.0,64.0,64.0
177,76.0,53.0,80.0,58.0,68.0,75.0,74.0,75.0,68.0,67.0,75.0,57.0,78.0,75.0,70.0,74.0
178,77.0,23.0,59.0,23.0,34.0,57.0,63.0,62.0,66.0,22.0,68.0,36.0,35.0,77.0,70.0,72.0
179,65.0,42.0,54.0,46.0,44.0,52.0,58.0,59.0,48.0,27.0,63.0,44.0,38.0,67.0,61.0,65.0
180,75.0,68.0,64.0,63.0,74.0,58.0,69.0,73.0,68.0,66.0,39.0,62.0,59.0,35.0,37.0,69.0
181,84.0,72.0,80.0,69.0,86.0,77.0,84.0,77.0,72.0,74.0,47.0,77.0,84.0,42.0,47.0,82.0
182,76.0,48.0,75.0,68.0,75.0,74.0,74.0,73.0,77.0,72.0,71.0,70.0,74.0,67.0,64.0,73.0
183,78.0,61.0,62.0,68.0,74.0,54.0,70.0,67.0,80.0,78.0,28.0,67.0,61.0,24.0,26.0,69.0
184,85.0,41.0,79.0,34.0,76.0,71.0,82.0,81.0,62.0,36.0,82.0,61.0,57.0,82.0,84.0,82.0
185,83.0,45.0,77.0,44.0,58.0,69.0,60.0,69.0,67.0,55.0,70.0,75.0,68.0,79.0,76.0,76.0
186,75.0,44.0,75.0,56.0,64.0,68.0,71.0,71.0,50.0,58.0,73.0,34.0,66.0,73.0,71.0,75.0
187,74.0,52.0,74.0,61.0,62.0,66.0,71.0,68.0,65.0,64.0,76.0,57.0,75.0,70.0,61.0,70.0
188,70.0,66.0,69.0,67.0,74.0,67.0,75.0,66.0,66.0,67.0,51.0,70.0,69.0,33.0,29.0,70.0
189,75.0,74.0,58.0,68.0,69.0,52.0,68.0,68.0,72.0,69.0,35.0,72.0,34.0,21.0,13.0,71.0
190,72.0,58.0,58.0,58.0,63.0,45.0,58.0,62.0,65.0,63.0,20.0,57.0,55.0,34.0,22.0,61.0
191,63.0,66.0,68.0,66.0,69.0,71.0,71.0,54.0,63.0,63.0,21.0,49.0,72.0,43.0,29.0,63.0
192,76.0,74.0,63.0,55.0,72.0,59.0,74.0,54.0,72.0,68.0,25.0,76.0,62.0,46.0,35.0,70.0
193,72.0,38.0,63.0,24.0,68.0,60.0,67.0,69.0,61.0,42.0,66.0,58.0,54.0,77.0,74.0,72.0
194,79.0,28.0,75.0,31.0,74.0,73.0,75.0,75.0,69.0,61.0,70.0,63.0,58.0,77.0,78.0,75.0
195,74.0,39.0,75.0,63.0,86.0,68.0,79.0,67.0,54.0,60.0,47.0,66.0,73.0,49.0,47.0,71.0
196,73.0,58.0,74.0,67.0,73.0,71.0,75.0,64.0,61.0,70.0,64.0,67.0,72.0,39.0,47.0,69.0
197,78.0,59.0,74.0,65.0,73.0,72.0,75.0,71.0,62.0,70.0,54.0,60.0,73.0,43.0,44.0,71.0
198,69.0,25.0,26.0,25.0,25.0,23.0,25.0,51.0,22.0,25.0,22.0,25.0,25.0,25.0,25.0,61.0
199,70.0,25.0,30.0,25.0,25.0,25.0,20.0,63.0,29.0,25.0,25.0,25.0,25.0,25.0,25.0,62.0
200,73.0,47.0,67.0,41.0,65.0,52.0,62.0,73.0,60.0,56.0,39.0,71.0,68.0,32.0,34.0,65.0
201,76.0,29.0,61.0,54.0,58.0,68.0,64.0,76.0,69.0,25.0,79.0,40.0,58.0,79.0,78.0,76.0
202,75.0,76.0,61.0,63.0,72.0,43.0,67.0,72.0,71.0,59.0,64.0,73.0,52.0,21.0,22.0,70.0
203,85.0,69.0,86.0,70.0,85.0,83.0,87.0,76.0,69.0,78.0,62.0,79.0,84.0,62.0,65.0,81.0
204,73.0,50.0,69.0,61.0,69.0,59.0,69.0,72.0,65.0,69.0,72.0,68.0,62.0,71.0,75.0,71.0
205,77.0,59.0,70.0,54.0,73.0,63.0,73.0,67.0,74.0,69.0,73.0,71.0,60.0,72.0,69.0,71.0
206,68.0,62.0,66.0,60.0,61.0,61.0,64.0,64.0,68.0,65.0,64.0,64.0,69.0,64.0,62.0,65.0
207,82.0,40.0,61.0,36.0,53.0,64.0,59.0,75.0,89.0,77.0,85.0,28.0,45.0,84.0,80.0,82.0
208,78.0,37.0,65.0,35.0,23.0,43.0,59.0,68.0,32.0,23.0,69.0,70.0,35.0,76.0,68.0,74.0
209,79.0,20.0,23.0,18.0,20.0,62.0,20.0,64.0,22.0,20.0,53.0,26.0,56.0,20.0,18.0,76.0
